;VarName;NAAllowed?;SpecificNeighborsReq?;RegExCheck;AllowedToAlreadyExist;NewValuesAllowed;SimilarityCheckBoundary;Type;HasToOccurAsPrimaryIDIN;ConstructedOnBasisOff;Type;CheckTheseSheetsForPrimaryIdOccurenceWhenReplaced;;;;;
ELEC;elec_id;;;^((CH|NL|DE|IE|UK)_((NT|RE)|(NT|RE)-([A-Z]{2}))_((1|2)(0|8|9)([0-9]{2}))([a-z]{3}){0,1})__([a-z]|[A-Z]|-|){3,100}(\[(([0-9]{1,2}(-[0-9]{1,2}){0,1})(\|([0-9]{1,2}(-[0-9]{1,2}){0,1})){0,20})\]){0,1}__(([0-9]{2}){0,1}(jan|feb|mar|apr|may|jun|jul|aug|sep|oct|nov|dec){0,1}((1|2)(0|7|8|9)([0-9]{2})))(\[\[(rcen|lcen)\]\]){0,1}|(NA|NC)$;TRUE;TRUE;1;text;;;prim;;;;;;
ELEC;parliament_id;;;^((NL|CH|DE|IE|UK|NO|CA)_((NT|RE)|(NT|RE)-([A-Z]{2}))_((1|2)(0|7|8|9)([0-9]{2}))([a-z]{3}){0,1})$;TRUE;TRUE;;text;PARL;;;;;;;;
ELEC;district_id;;;^((CH|NL|DE|IE|UK)_((NT|RE)|(NT|RE)-([A-Z]{2}))_((1|2)(0|8|9)([0-9]{2}))([a-z]{3}){0,1})__([a-z]|[A-Z]|-|){3,100}(\[(([0-9]{1,2}(-[0-9]{1,2}){0,1})(\|([0-9]{1,2}(-[0-9]{1,2}){0,1})){0,20})\]){0,1}$;TRUE;TRUE;;text;ELDI;;;;;;;;
ELEC;election_date;TRUE;;^(([0-9]{2}){0,1}(jan|feb|mar|apr|may|jun|jul|aug|sep|oct|nov|dec){0,1}((1|2)(0|7|8|9)([0-9]{2})))(\[\[(rcen|lcen)\]\]){0,1}|(NA|NC)$;TRUE;TRUE;;text;;;;;;;;;
ELEC;election_type;TRUE;;^(regular|early|NA)$;TRUE;TRUE;;text;;;;;;;;;
ELEC;election_mode;TRUE;;^popular|by_other_parliament|town_square$;TRUE;TRUE;;text;;;;;;;;;
ELEC;parliament_id_of_electing_parliament;TRUE;;^((NL|CH|DE|IE|UK|NO|CA)_((NT|RE)|(NT|RE)-([A-Z]{2}))_((1|2)(0|7|8|9)([0-9]{2}))([a-z]{3}){0,1})$;TRUE;TRUE;;text;PARL;;;;;;;;
ELEC;district_votes_total;TRUE;;^[0-9]{1,5}|NA|NC$;TRUE;TRUE;;text;;;;;;;;;
ELEC;election_hierarchy;TRUE;;^main-election|NA|by-election$;TRUE;TRUE;;text;;;;;;;;;
ELEC;round;TRUE;;^1|2$;TRUE;TRUE;;text;;;;;;;;;
PARL;parliament_id;FALSE;;^((NL|CH|DE|IE|UK|NO|CA)_((NT|RE)|(NT|RE)-([A-Z]{2}))_((1|2)(0|7|8|9)([0-9]{2}))([a-z]{3}){0,1})$;TRUE;TRUE;;text;;;prim;;;;;;
PARL;leg_period_start;TRUE;;^(([0-9][0-9][a-z]{3}[1|2][0-9][0-9][0-9])\b|\b[1|2][0-9][0-9][0-9]|NA|NC)$;TRUE;TRUE;;text;;;;;;;;;
PARL;leg_period_end;TRUE;;^(([0-9][0-9][a-z]{3}[1|2][0-9][0-9][0-9])\b|\b[1|2][0-9][0-9][0-9]|NA|NC)$;TRUE;TRUE;;text;;;;;;;;;
PARL;level;TRUE;;^(NT|RE)$;TRUE;TRUE;;text;;;;;;;;;
PARL;country_abb;TRUE;;^(CH|NL|DE|IE|UK|NO|CA|US)$;TRUE;TRUE;;text;;;;;;;;;
PARL;region_abb;TRUE;;^[A-Z]{2}$;TRUE;TRUE;;text;;;;;;;;;
PARL;leg_period;TRUE;;^([0-9]{1,3}|NC|NA)$;TRUE;TRUE;;text;;;;;;;;;
PARL;election_date;TRUE;;^(?:[0-9]{2}[a-z]{3}[12][0-9]{3}|[a-z]{3}[12][0-9]{3}|[12][0-9]{3})$;TRUE;TRUE;;text;;;;;;;;;
PARL;assembly_name;TRUE;;"^(?:[A-Za-z0-9;()'"",.!\/|+\- ]{3,900}|NA)$";TRUE;TRUE;;text;;;;;;;;;
PARL;assembly_abb;TRUE;;^(BT|TK|KR|GR|LP|NR|SR|LR|GC|PL|SE|DE|LT|AH|BS|SP|ST|HC|HR)$;TRUE;TRUE;;text;;;;;;;;;
PARL;election_type;TRUE;;^(regular|early|NA)$;TRUE;TRUE;;text;;;;;;;;;
PARE;parl_episode_id;FALSE;"pers_id;parliament_id;member_ofthisparliament_atsomepoint";^(CH|NL|DE|IE|UK)_([A-Z]|[a-z]|-){2,60}_([A-Z]|[a-z]|-){1,60}_(([1-2][8-9][0-9][0-9]([a-z]{3}){0,1})(-[0-9]){0,1}|(9999)|NA)__[A-Z]{2}_(([A-Z]{2})|([A-Z]{2})-([A-Z]{2}))_[1-2][8-9|0-1][0-9][0-9]$;TRUE;TRUE;0,8;text;;"pers_id;parliament_id";prim;;;;;;
PARE;pers_id;FALSE;;^(CH|DE|NL|IE|UK|NO|CA|US)_([A-Z]|[a-z]|-){2,60}_([A-Z]|[a-z]|-){1,60}_(([1-2][0,7-9][0-9][0-9]([a-z]{3}){0,1})(-[0-9]){0,1}|(9999)|NA)$;TRUE;TRUE;;text;POLI;;;;;;;;
PARE;parliament_id;FALSE;;^((NL|CH|DE|IE|UK|NO|CA)_((NT|RE)|(NT|RE)-([A-Z]{2}))_((1|2)(0|7|8|9)([0-9]{2}))([a-z]{3}){0,1})$;TRUE;TRUE;;text;PARL;;;;;;;;
PARE;member_ofthisparliament_atsomepoint;FALSE;;^yes|no$;TRUE;TRUE;;text;;;;;;;;;
PARE;residence_place_raw;TRUE;;.+;TRUE;TRUE;;text;;;;;;;;;
PARE;residence_adress;TRUE;;.+;TRUE;TRUE;;text;;;;;;;;;
PARE;residence_address_longi;TRUE;;^(-|)([0-9]{1,3}\.[0-9]{2,14}|NA)$;TRUE;TRUE;;text;;;;;;;;;
PARE;residence_address_lati;TRUE;;^(-|)([0-9]{1,3}\.[0-9]{2,14}|NA)$;TRUE;TRUE;;text;;;;;;;;;
PARE;family_status_raw;TRUE;;.+;TRUE;TRUE;;text;;;;;;;;;
PARE;married;TRUE;;^(0|1|NA)$;TRUE;TRUE;;text;;;;;;;;;
PARE;nr_children;TRUE;;^([0-9]{1,2}|NA)$;TRUE;TRUE;;text;;;;;;;;;
PARE;religion_raw;TRUE;;.+;TRUE;TRUE;;text;;;;;;;;;
MINE;min_episode_id;FALSE;;^(CH|NL|DE|IE|UK)_([A-Z]|[a-z]|-){2,60}_([A-Z]|[a-z]|-){1,60}_(([1-2][8-9][0-9][0-9]([a-z]{3}){0,1})(-[0-9]){0,1}|(9999)|NA)__[A-Z]{2}_(([A-Z]{2})|([A-Z]{2})-([A-Z]{2}))_[1-2][8-9|0-1][0-9][0-9]__cab$;TRUE;TRUE;;text;;"pers_id;parliament_id;string";;;;;;;
MINE;pers_id;FALSE;;^(CH|DE|NL|IE|UK|NO|CA|US)_([A-Z]|[a-z]|-){2,60}_([A-Z]|[a-z]|-){1,60}_(([1-2][0,7-9][0-9][0-9]([a-z]{3}){0,1})(-[0-9]){0,1}|(9999)|NA)$;TRUE;TRUE;;text;POLI;;;;;;;;
